,boro, nb, count
0,Manhattan,Hollis,5
1,Bronx,Flatlands,1
2,Manhattan,Marine Park,9
3,Bronx,Springfield Gardens,3
4,Brooklyn,Woodside,457
5,Queens,Sunset Park,89
6,Bronx,Roosevelt Island,13
7,Bronx,Columbia St,6
8,Queens,Upper West Side,37124
9,Staten Island,Todt Hill,19
10,Brooklyn,Carroll Gardens,13173
11,Bronx,Canarsie,1
12,Queens,Forest Hills,10604
13,Queens,Sunnyside,12985
14,Manhattan,Marble Hill,80
15,Queens,Gowanus,144
16,Brooklyn,Bay Ridge,1302
17,Queens,John F. Kennedy International Airport,59226
18,Queens,Vinegar Hill,27
19,Bronx,Ditmars Steinway,386
20,Manhattan,Upper East Side,2029531
21,Queens,Alley Pond Park,21
22,Bronx,Schuylerville,80
23,Staten Island,Bedford-Stuyvesant,2
24,Queens,Bronx Park,5
25,Queens,Harlem,3598
26,Bronx,Belmont,136
27,Manhattan,Ridgewood,52
28,Manhattan,East Flatbush,77
29,Staten Island,Ridgewood,1
30,Brooklyn,Westerleigh,1
31,Brooklyn,Whitestone,4
32,Bronx,Concourse,662
33,Bronx,Astoria,435
34,Queens,Coney Island,1
35,Manhattan,Bedford-Stuyvesant,1093
36,Bronx,Country Club,26
37,Bronx,Rikers Island,151
38,Brooklyn,Far Rockaway,1
39,Brooklyn,Middle Village,22
40,Manhattan,Bensonhurst,32
41,Brooklyn,Upper East Side,22679
42,Brooklyn,Fresh Meadows,1
43,Manhattan,Arrochar,1
44,Brooklyn,Jamaica,40
45,Manhattan,Boerum Hill,5492
46,Brooklyn,Plum Beach,3
47,Queens,Rikers Island,21
48,Queens,Briarwood,698
49,Manhattan,Holliswood,1
50,Manhattan,Cambria Heights,17
51,Staten Island,Bay Ridge,7
52,Bronx,Gowanus,7
53,Manhattan,Bellerose,19
54,Manhattan,Washington Heights,14020
55,Bronx,Soundview,398
56,Brooklyn,Jamaica Bay,79
57,Queens,Westchester Square,6
58,Queens,Concourse Village,14
59,Staten Island,Washington Heights,1
60,Bronx,Sunnyside,153
61,Staten Island,Westerleigh,5
62,Manhattan,Flatlands,22
63,Bronx,Parkchester,1013
64,Manhattan,South Ozone Park,1723
65,Brooklyn,South Slope,2323
66,Brooklyn,Ozone Park,35
67,Manhattan,Morningside Heights,112250
68,Manhattan,Tremont,8
69,Queens,Fresh Meadows,149
70,Bronx,West Farms,128
71,Manhattan,Jamaica,1932
72,Brooklyn,Randall Manor,1
73,Brooklyn,Concourse,25
74,Manhattan,Hell's Kitchen,751095
75,Queens,SoHo,10388
76,Staten Island,East Harlem,6
77,Staten Island,Rosebank,6
78,Brooklyn,Melrose,3
79,Manhattan,West Brighton,2
80,Brooklyn,Tompkinsville,1
81,Bronx,University Heights,140
82,Queens,Rosedale,129
83,Brooklyn,Kew Gardens Hills,13
84,Queens,West Village,14111
85,Staten Island,New Brighton,8
86,Manhattan,Breezy Point,3
87,Bronx,Chelsea,4407
88,Manhattan,Prince's Bay,1
89,Bronx,Kew Gardens Hills,7
90,Brooklyn,Morris Heights,2
91,Bronx,Brooklyn Heights,32
92,Queens,East Flatbush,24
93,Manhattan,Battery Park City,108103
94,Manhattan,Bronx Park,30
95,Manhattan,Greenwich Village,317745
96,Queens,Olinville,2
97,Manhattan,Civic Center,34781
98,Queens,Central Park,5919
99,Staten Island,Harlem,5
100,Manhattan,Soundview,27
101,Queens,Soundview,12
102,Queens,Greenpoint,2117
103,Manhattan,Van Nest,9
104,Bronx,Elmhurst,65
105,Bronx,Highbridge,428
106,Queens,College Point,349
107,Staten Island,Pleasant Plains,1
108,Manhattan,Latourette Park,1
109,Queens,Clason Point,9
110,Queens,Little Neck,19
111,Queens,South Ozone Park,1032
112,Queens,Cypress Hills,36
113,Manhattan,Baychester,3
114,Brooklyn,Civic Center,4815
115,Queens,Port Richmond,1
116,Queens,Howard Beach,217
117,Brooklyn,Kips Bay,9447
118,Bronx,East Flatbush,2
119,Manhattan,Van Cortlandt Park,8
120,Manhattan,Bath Beach,12
121,Staten Island,Port Richmond,15
122,Staten Island,Rego Park,1
123,Queens,Neponsit,1
124,Manhattan,Howard Beach,15
125,Manhattan,Emerson Hill,5
126,Bronx,Laurelton,1
127,Bronx,Greenwich Village,884
128,Bronx,Throgs Neck,175
129,Queens,Morris Heights,1
130,Bronx,Bedford-Stuyvesant,14
131,Brooklyn,Allerton,1
132,Queens,Castle Hill,2
133,Staten Island,Shore Acres,8
134,Queens,Jackson Heights,4500
135,Queens,Arverne,32
136,Brooklyn,Maspeth,179
137,Manhattan,Cypress Hills,36
138,Staten Island,New Springville,129
139,Manhattan,Fort Wadsworth,1
140,Brooklyn,Central Park,1831
141,Manhattan,Schuylerville,3
142,Manhattan,Chinatown,49810
143,Brooklyn,Downtown Brooklyn,9724
144,Staten Island,Red Hook,1
145,Bronx,Maspeth,13
146,Bronx,Longwood,929
147,Bronx,Cobble Hill,4
148,Manhattan,Kew Gardens Hills,66
149,Manhattan,Bayswater,2
150,Manhattan,Alley Pond Park,5
151,Manhattan,Prospect Park,267
152,Manhattan,Coney Island,4
153,Bronx,Tremont,95
154,Brooklyn,Manhattan Beach,17
155,Staten Island,New Dorp,3
156,Brooklyn,Sea Gate,19
157,Manhattan,Mount Eden,37
158,Manhattan,Unionport,38
159,Manhattan,East Morrisania,14
160,Manhattan,Maspeth,590
161,Staten Island,Cobble Hill,5
162,Manhattan,East Harlem,133882
163,Manhattan,Plum Beach,1
164,Queens,Tribeca,7491
165,Bronx,Crown Heights,10
166,Manhattan,Cunningham Park,3
167,Brooklyn,Dyker Heights,1108
168,Queens,Floral Park,40
169,Manhattan,Floyd Bennett Field,4
170,Staten Island,Coney Island,1
171,Bronx,Richmond Hill,3
172,Staten Island,Park Slope,5
173,Queens,South Beach,1
174,Brooklyn,Murray Hill,8455
175,Bronx,Kensington,1
176,Queens,Parkchester,8
177,Manhattan,Kips Bay,295433
178,Brooklyn,Governors Island,9
179,Brooklyn,Crown Heights,2418
180,Bronx,Baychester,32
181,Manhattan,Concord,3
182,Manhattan,Olinville,1
183,Brooklyn,Bayside,5
184,Manhattan,Stuyvesant Town,61235
185,Queens,Windsor Terrace,15
186,Brooklyn,West Farms,1
187,Bronx,Woodside,106
188,Manhattan,Randall's Island,1482
189,Staten Island,Upper East Side,84
190,Bronx,Bushwick,6
191,Staten Island,Nolita,7
192,Queens,East Village,22754
193,Brooklyn,Soundview,4
194,Bronx,Midtown,7940
195,Staten Island,Flatiron District,26
196,Brooklyn,Bloomfield,1
197,Queens,DUMBO,263
198,Brooklyn,Financial District,18600
199,Manhattan,St. Albans,5
200,Staten Island,Williamsburg,14
201,Queens,Canarsie,15
202,Queens,Carroll Gardens,983
203,Queens,Far Rockaway,23
204,Staten Island,Crown Heights,1
205,Queens,Forest Park,197
206,Manhattan,Concourse,556
207,Bronx,Upper East Side,9189
208,Brooklyn,East New York,443
209,Manhattan,Morris Heights,76
210,Bronx,Pelham Gardens,99
211,Queens,Belle Harbor,3
212,Manhattan,Bushwick,483
213,Queens,Fort Greene,835
214,Manhattan,Castle Hill,2
215,Bronx,Two Bridges,19
216,Manhattan,Dyker Heights,16
217,Manhattan,West Farms,15
218,Queens,Bay Ridge,15
219,Manhattan,Whitestone,20
220,Bronx,Prospect Park,2
221,Bronx,Kips Bay,1144
222,Brooklyn,Flatbush,1361
223,Manhattan,Clinton Hill,1651
224,Manhattan,Great Kills Park,1
225,Staten Island,NoHo,15
226,Queens,Springfield Gardens,408
227,Manhattan,Rikers Island,10
228,Bronx,West Village,1174
229,Manhattan,Woodrow,1
230,Staten Island,Fort Greene,1
231,Manhattan,DUMBO,4361
232,Manhattan,Richmondtown,1
233,Brooklyn,Stapleton,3
234,Brooklyn,West Village,29852
235,Bronx,Alley Pond Park,1
236,Manhattan,Governors Island,41
237,Bronx,Co-op City,76
238,Bronx,Pelham Bay,70
239,Bronx,Hell's Kitchen,4189
240,Brooklyn,Marine Park,113
241,Queens,Ditmars Steinway,6393
242,Manhattan,Manhattan Beach,4
243,Bronx,Queens Village,1
244,Brooklyn,Briarwood,13
245,Queens,Upper East Side,66427
246,Brooklyn,Mott Haven,32
247,Manhattan,Vinegar Hill,167
248,Manhattan,Longwood,141
249,Brooklyn,East Elmhurst,590
250,Queens,Marine Park,3
251,Bronx,North Riverdale,50
252,Bronx,LaGuardia Airport,4631
253,Bronx,Melrose,124
254,Staten Island,Hell's Kitchen,124
255,Queens,Laurelton,70
256,Manhattan,Midland Beach,1
257,Bronx,Claremont Village,263
258,Queens,Williamsbridge,3
259,Queens,Glen Oaks,9
260,Brooklyn,Washington Heights,201
261,Queens,Morrisania,3
262,Manhattan,Greenpoint,4307
263,Bronx,Bronxdale,36
264,Queens,Morris Park,3
265,Brooklyn,Chelsea,46094
266,Staten Island,Little Italy,8
267,Bronx,Broad Channel,1
268,Brooklyn,Arrochar,2
269,Queens,Pelham Bay,3
270,Manhattan,Forest Hills,1332
271,Manhattan,East New York,43
272,Queens,Hell's Kitchen,32111
273,Bronx,Flushing Meadows Corona Park,4
274,Staten Island,Charleston,5
275,Staten Island,Kips Bay,47
276,Bronx,DUMBO,10
277,Bronx,Fordham,305
278,Manhattan,Ozone Park,52
279,Queens,Wakefield,2
280,Manhattan,Middle Village,20
281,Manhattan,John F. Kennedy International Airport,125640
282,Queens,Ozone Park,325
283,Manhattan,Gowanus,918
284,Staten Island,Freshkills Park,71
285,Staten Island,New Dorp Beach,4
286,Brooklyn,Todt Hill,1
287,Queens,Chinatown,1880
288,Manhattan,North Riverdale,14
289,Manhattan,Claremont Village,20
290,Bronx,Jamaica,12
291,Manhattan,Howland Hook,1
292,Queens,Kew Gardens,680
293,Brooklyn,Floyd Bennett Field,71
294,Queens,Emerson Hill,1
295,Staten Island,Gramercy,53
296,Staten Island,St. George,22
297,Manhattan,Concourse Village,105
298,Bronx,Harlem,1808
299,Brooklyn,Nolita,8559
300,Manhattan,Westchester Square,12
301,Bronx,Unionport,641
302,Bronx,Greenpoint,24
303,Manhattan,Mott Haven,960
304,Queens,Rego Park,1974
305,Queens,Richmond Hill,1629
306,Brooklyn,Longwood,3
307,Queens,Woodhaven,248
308,Staten Island,Bath Beach,1
309,Queens,Holliswood,42
310,Staten Island,Flushing,2
311,Bronx,Navy Yard,1
312,Brooklyn,East Harlem,1605
313,Manhattan,Canarsie,23
314,Brooklyn,West Brighton,1
315,Queens,Arrochar,1
316,Brooklyn,Sunnyside,1514
317,Brooklyn,Theater District,13467
318,Queens,Crown Heights,177
319,Staten Island,Sheepshead Bay,2
320,Staten Island,Latourette Park,60
321,Queens,Roosevelt Island,621
322,Manhattan,LaGuardia Airport,229932
323,Manhattan,Murray Hill,364963
324,Staten Island,Howland Hook,3
325,Brooklyn,Vinegar Hill,345
326,Queens,Astoria,23740
327,Bronx,Pelham Bay Park,94
328,Brooklyn,Midwood,883
329,Brooklyn,Clifton,1
330,Manhattan,Midtown,2396134
331,Brooklyn,Flushing Meadows Corona Park,25
332,Bronx,South Ozone Park,10
333,Queens,East Harlem,6487
334,Staten Island,Oakwood,9
335,Manhattan,West Village,553486
336,Brooklyn,Bergen Beach,62
337,Bronx,Briarwood,1
338,Queens,Breezy Point,18
339,Brooklyn,Kew Gardens,31
340,Queens,Park Slope,770
341,Staten Island,Upper West Side,55
342,Queens,Floyd Bennett Field,4
343,Brooklyn,Fort Greene,8756
344,Staten Island,Civic Center,15
345,Queens,Hollis,148
346,Brooklyn,Springfield Gardens,8
347,Brooklyn,Woodhaven,31
348,Queens,Randall's Island,212
349,Staten Island,Prince's Bay,5
350,Manhattan,Sunset Park,530
351,Queens,Battery Park City,4496
352,Manhattan,Jamaica Hills,29
353,Brooklyn,Bath Beach,133
354,Bronx,Woodhaven,2
355,Manhattan,Fieldston,19
356,Queens,Queens Village,159
357,Brooklyn,Green-Wood Cemetery,145
358,Staten Island,Stuyvesant Town,8
359,Manhattan,Co-op City,5
360,Bronx,Fort Greene,56
361,Brooklyn,Long Island City,3500
362,Queens,Two Bridges,117
363,Manhattan,Queens Village,15
364,Manhattan,Parkchester,41
365,Brooklyn,North Riverdale,2
366,Bronx,Prospect Heights,31
367,Queens,Ridgewood,327
368,Brooklyn,Elmhurst,244
369,Brooklyn,Rockaway Beach,1
370,Manhattan,Pelham Bay,3
371,Staten Island,Financial District,257
372,Bronx,Flatiron District,579
373,Staten Island,Sunset Park,9
374,Staten Island,Eltingville,5
375,Staten Island,Chinatown,17
376,Bronx,Forest Hills,45
377,Staten Island,Rossville,11
378,Bronx,Hunts Point,269
379,Manhattan,Clason Point,9
380,Staten Island,Mott Haven,1
381,Queens,Claremont Village,3
382,Queens,Bergen Beach,1
383,Queens,Port Morris,58
384,Manhattan,Prospect Heights,2717
385,Brooklyn,Breezy Point,5
386,Manhattan,Mariners Harbor,2
387,Manhattan,Long Island City,22009
388,Manhattan,Green-Wood Cemetery,12
389,Queens,Midwood,12
390,Staten Island,Bensonhurst,4
391,Manhattan,East Elmhurst,4795
392,Manhattan,Corona,243
393,Bronx,Middle Village,1
394,Manhattan,New Springville,8
395,Manhattan,Kingsbridge,157
396,Queens,Rockaway Beach,54
397,Brooklyn,Randall's Island,9
398,Bronx,Central Park,623
399,Bronx,Prospect-Lefferts Gardens,4
400,Manhattan,Ellis Island,2
401,Bronx,Tribeca,507
402,Bronx,Allerton,619
403,Brooklyn,Bayswater,1
404,Queens,Rockaway Park,14
405,Brooklyn,Gowanus,3029
406,Brooklyn,Bay Terrace,1
407,Manhattan,Rossville,1
408,Queens,Fort Hamilton,10
409,Bronx,Randall's Island,98
410,Manhattan,Bergen Beach,1
411,Staten Island,Bull's Head,28
412,Queens,Spuyten Duyvil,2
413,Manhattan,Allerton,8
414,Staten Island,Bloomfield,3
415,Bronx,Kingsbridge,300
416,Queens,Flatbush,60
417,Queens,Cobble Hill,758
418,Brooklyn,St. George,1
419,Manhattan,Woodlawn,7
420,Queens,Little Italy,697
421,Manhattan,Little Italy,24855
422,Brooklyn,South Ozone Park,78
423,Queens,Jamaica,1810
424,Bronx,Jackson Heights,91
425,Bronx,Clason Point,166
426,Queens,Midtown,132378
427,Bronx,Corona,7
428,Queens,Mount Eden,3
429,Staten Island,South Slope,2
430,Staten Island,Gowanus,2
431,Brooklyn,Kensington,2463
432,Brooklyn,Rockaway Park,1
433,Queens,Co-op City,4
434,Queens,Pelham Gardens,4
435,Bronx,Gramercy,865
436,Brooklyn,Gramercy,13919
437,Manhattan,Windsor Terrace,94
438,Manhattan,Navy Yard,92
439,Manhattan,Pelham Gardens,4
440,Brooklyn,Canarsie,469
441,Manhattan,Mill Basin,2
442,Queens,Prospect-Lefferts Gardens,58
443,Brooklyn,Roosevelt Island,78
444,Bronx,Morningside Heights,1205
445,Staten Island,Silver Lake,16
446,Brooklyn,NoHo,8249
447,Manhattan,Laurelton,1
